question,option1,option2,option3,option4,answer
What is the main source of energy for the Earth?,The Moon,The Sun,Electricity,Wind,2
Which of these animals is a mammal?,Shark,Crocodile,Elephant,Lizard,3
What do plants need to make food?,Carbon dioxide,Sunlight,Water,All of the above,4
Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Saturn,2
What force pulls objects toward the center of the Earth?,Magnetism,Gravity,Friction,Inertia,2
What is the process of water cycle?,Evaporation,Condensation,Precipitation,All of the above,4
How many states of matter are there?,Two,Three,Four,Five,3
What part of the plant conducts photosynthesis?,Root,Stem,Leaf,Flower,3
What is the boiling point of water?,100째C,90째C,80째C,110째C,1
Which gas do plants exhale?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,1
Which animal is known for its ability to hibernate?,Bear,Elephant,Chicken,Shark,1
What causes day and night?,The Earth spinning on its axis,The Earth orbiting the sun,Clouds covering the sun,The moon blocking the sun,1
Which is not a renewable resource?,Solar energy,Wind energy,Coal,Hydropower,3
What do you call a scientist who studies rocks?,Biologist,Astronomer,Geologist,Chemist,3
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Silver,3
Which of the following is a fossil fuel?,Wood,Coal,Hydrogen,Solar power,2
What is condensation?,Water turning into ice,Water turning into gas,Gas turning into water,Gas turning into ice,3
Which layer of Earth's atmosphere do we live in?,Stratosphere,Troposphere,Mesosphere,Thermosphere,2
What gas is most abundant in the Earth's atmosphere?,Oxygen,Hydrogen,Nitrogen,Carbon dioxide,3
What kind of animal is a dolphin?,Fish,Mammal,Reptile,Bird,2
Which vitamin is produced when the human skin is exposed to sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,4
What is the largest organ in the human body?,Heart,Liver,Skin,Lung,3
Which of these is not a primary color?,Red,Blue,Green,Yellow,3
What is photosynthesis?,Process of breathing in plants,Process of plants eating insects,Process of water movement in plants,Process of converting light into food,4
Which is the only planet in our solar system not named after a god?,Earth,Mars,Jupiter,Saturn,1
What is a habitat?,A place where an animal shops,A place where an animal lives,A type of animal,A type of plant,2
What causes tides?,The moon's gravity,The sun's gravity,Winds,Earthquakes,1
What is a herbivore?,An animal that eats only plants,An animal that eats only meat,An animal that eats both plants and meat,A plant that eats insects,1
What type of animal is a spider?,Insect,Arachnid,Crustacean,Mammal,2
What is the center of an atom called?,Electron,Neutron,Nucleus,Proton,3
Which continent is also a country?,Africa,Australia,Antarctica,Asia,2
What is metamorphosis?,Changing of seasons,Process of changing shape,Growth of plants,Transformation of a caterpillar into a butterfly,4
What part of the eye allows you to see color?,Pupil,Iris,Retina,Cornea,3
What is the smallest unit of life?,Cell,Atom,Molecule,Organ,1
What do you call water vapor turning into liquid?,Evaporation,Condensation,Precipitation,Transpiration,2
What is the study of weather called?,Geology,Meteorology,Biology,Astronomy,2
Which is not a type of cloud?,Cumulus,Stratus,Cirrus,Solarius,4
What is the primary gas found in the air we exhale?,Oxygen,Nitrogen,Carbon dioxide,Argon,3
What does a paleontologist study?,Ancient cultures,Dinosaurs and fossils,Stars and planets,Living animals,2
What organ is part of the digestive system?,Heart,Liver,Brain,Kidney,2
Which of these is a chemical change?,Rusting of iron,Melting of ice,Boiling of water,Dissolving sugar in water,1
What is the main gas in the Earth's atmosphere?,Oxygen,Hydrogen,Nitrogen,Carbon Dioxide,3
What type of rock is formed from cooled magma or lava?,Metamorphic,Sedimentary,Igneous,Crystal,3
What organ do fish use to breathe?,Lungs,Gills,Skin,Fins,2
What is the force that keeps planets in orbit around the sun?,Gravity,Magnetism,Electromagnetism,Friction,1
Which of these is a renewable energy source?,Oil,Natural gas,Coal,Wind,4
What type of animal is a frog?,Reptile,Amphibian,Mammal,Bird,2
What does a botanist study?,Animals,Rocks,Plants,Stars,3
In what layer of the atmosphere do weather phenomena occur?,Stratosphere,Troposphere,Mesosphere,Exosphere,2
Which of these bodies of water is the largest?,Ocean,Sea,Lake,River,1
What is the process by which plants release water vapor into the air?,Transpiration,Respiration,Condensation,Precipitation,1
Which part of the plant is responsible for absorbing water and nutrients?,Leaf,Stem,Root,Flower,3
What phenomenon causes the northern and southern lights?,Solar winds,Moonlight,Earth's magnetic field,Sunspots,1
What is the primary source of oxygen in the Earth's atmosphere?,Oceans,Forests,Volcanoes,Deserts,2
Which layer of the Earth is made mostly of iron and nickel?,Crust,Mantle,Core,Asthenosphere,3
